Address ,List_Price ,latitude,longitude
"429 W Wellington Ave Apt 3A Chicago, IL 60657","$238,500 ",41.936277,-87.640596
"3241 W Palmer St Apt 1E Chicago, IL 60647","$157,000 ",41.92071,-87.70881
"6226 W 87th St Burbank, IL 60459","$155,500 ",41.734277,-87.776231
"245 W Johnson St Unit 306 Palatine, IL 60067","$248,000 ",42.109153,-88.050425
"10411 S Longwood Dr Chicago, IL 60643","$32,000 ",41.704301,-87.670407
"2906 N Sheridan Rd Chicago, IL 60657","$140,000 ",41.934697,-87.639817
"1118 Hillview Dr Lemont, IL 60439","$88,000 ",41.66009,-87.994851
"2646 Pauline Ave Glenview, IL 60025","$517,500 ",42.056906,-87.824772
"168 Crescent Ln Schaumburg, IL 60193","$230,000 ",42.029468,-88.154107
"907 E Alder Ln Mount Prospect, IL 60056","$78,000 ",42.086962,-87.922242
"792 Margate Ln Apt C Prospect Heights, IL 60070","$219,000 ",42.092085,-87.921763
"764 Crescent Way Hanover Park, IL 60133","$262,500 ",42.007965,-88.129683
"716 S Byron Ct Mount Prospect, IL 60056","$184,500 ",42.052337,-87.939639
"4145 W Crystal St Chicago, IL 60651","$930,500 ",41.903258,-87.730522
"7831 S Michigan Ave Chicago, IL 60619","$123,500 ",41.751895,-87.620927
"1637 E 87th St Chicago, IL 60617","$78,000 ",,
"1988 Oxford Ln Hoffman Estates, IL 60169","$340,000 ",42.061531,-88.130714
"3770 N Alder Dr Hoffman Estates, IL 60192","$340,000 ",42.092121,-88.131021
"8847 W 97th St Palos Hills, IL 60465","$340,000 ",41.714213,-87.838821
"601 Edinburgh Ln Apt D Prospect Heights, IL 60070","$175,000 ",42.092082,-87.921765
"604 W Bunting Ln Mount Prospect, IL 60056","$175,000 ",42.085109,-87.944729
"307 Herrick Rd Riverside, IL 60546","$175,000 ",41.831131,-87.808505
"9035 28th St Brookfield, IL 60513","$175,000 ",41.839228,-87.848779
"4114 Vernon Ave Brookfield, IL 60513","$175,000 ",41.816061,-87.845551
"9508 Jackson Ave Brookfield, IL 60513","$175,000 ",41.831271,-87.85951
"1546 Raymond Ave La Grange Park, IL 60526","$175,000 ",41.84189,-87.856148
"1812 N Sawyer Ave Chicago, IL 60647","$315,000 ",41.914207,-87.709015
"8212 S Dobson Ave Apt C Chicago, IL 60619","$116,000 ",41.74531,-87.599053
"8943 Saratoga Dr Bridgeview, IL 60455","$132,000 ",41.728891,-87.790337
"5451 McDonough Rd Hoffman Estates, IL 60192","$115,000 ",42.06495,-88.219214
"258 W Hamilton Dr Palatine, IL 60067","$87,500 ",42.1255,-88.049685
"424 Jason Ln Schaumburg, IL 60173","$370,000 ",42.03752,-88.051802
"2334 N Keystone Ave Chicago, IL 60639","$180,000 ",41.923736,-87.728323
"1808 W Race Ave Chicago, IL 60622","$205,000 ",41.891807,-87.672477
"410 S Evergreen Ave Arlington Heights, IL 60005","$238,000 ",42.076949,-87.982112
"838 Indian Rd Glenview, IL 60025","$960,000 ",42.070196,-87.765718
"1601 Del Ogier Dr Glenview, IL 60025","$205,000 ",42.083645,-87.780469
"3300 N Lake Shore Dr Apt 5C Chicago, IL 60657","$346,000 ",41.942491,-87.640478
"4104 N Austin Ave Chicago, IL 60634","$385,000 ",41.955087,-87.777194
"1212 N Lake Shore Dr Apt 32AS Chicago, IL 60610","$38,000 ",41.904553,-87.625495
"203 Sheridan Rd Winnetka, IL 60093","$755,000 ",42.096753,-87.713835
"928 W Eastwood Ave Apt 2E Chicago, IL 60640","$335,000 ",41.966646,-87.653659
"1224 W Van Buren St Apt 709 Chicago, IL 60607","$78,000 ",41.876829,-87.65835
"2335 W Belle Plaine Ave Chicago, IL 60618","$575,000 ",41.955488,-87.687522
"4015 W Patterson Ave Chicago, IL 60641","$415,000 ",41.94701,-87.728085
"2309 W Chicago Ave Apt 2 Chicago, IL 60622","$63,000 ",41.895498,-87.684855
"8801 W Golf Rd Apt 4G Niles, IL 60714","$359,000 ",42.053786,-87.846087
"6700 S Brainard Ave Apt 302 Countryside, IL 60525","$240,000 ",41.769109,-87.878505
"1541 W Beverly Cir Hanover Park, IL 60133","$285,000 ",41.980142,-88.141531
"102 Mayer Ave Wheeling, IL 60090","$73,500 ",42.146626,-87.919196
"22523 Yates Ave Sauk Village, IL 60411","$405,000 ",41.478285,-87.571226
"11134 S Normal Ave Chicago, IL 60628","$315,000 ",41.691389,-87.635446
"19829 Orchard Ave Lynwood, IL 60411","$315,000 ",41.53432,-87.553056
"2180 W 118th St Chicago, IL 60643","$157,000 ",41.679474,-87.676072
"7911 Laguna Ln Orland Park, IL 60462","$355,000 ",41.640749,-87.812243
"9219 S Wallace St Chicago, IL 60620","$530,000 ",41.726745,-87.638844
"8142 S Avalon Ave Chicago, IL 60619","$365,000 ",41.746454,-87.594496
"11523 Fenwood Ct Orland Park, IL 60467","$242,500 ",41.626749,-87.899966
"1420 S Springfield Ave # 2 Chicago, IL 60623","$160,000 ",,
"912 Lyman Ave Oak Park, IL 60304","$425,000 ",41.872228,-87.776476
"2928 W Polk St Chicago, IL 60612","$25,000 ",41.871284,-87.699667
"2014 N Lincoln Ave Chicago, IL 60614","$648,000 ",41.919488,-87.639532
"1543 N Hudson Ave Apt 2 Chicago, IL 60610","$200,000 ",41.910524,-87.63943
"6528 W 64th Pl Chicago, IL 60638","$215,000 ",41.77515,-87.784776
"624 S Knight Ave Park Ridge, IL 60068","$300,000 ",42.002533,-87.844769
"2939 N 78th Ct Elmwood Park, IL 60707","$977,500 ",41.933832,-87.822142
"4154 N Meade Ave Chicago, IL 60634","$110,000 ",41.956421,-87.779689
"2035 Birch St Des Plaines, IL 60018","$49,000 ",42.016484,-87.876781
"2726 W Catalpa Ave Chicago, IL 60625","$193,000 ",41.981564,-87.697841
"600 N Kingsbury St Apt 1706 Chicago, IL 60654","$385,000 ",41.892914,-87.641587
"9960 Franchesca Ct Apt 2C Orland Park, IL 60462","$410,000 ",41.614894,-87.861247
"10923 S Church St Chicago, IL 60643","$250,000 ",41.694938,-87.662379
"16040 Cottage Grove Ave South Holland, IL 60473","$250,000 ",41.60351,-87.598109
"3252 W Cullom Ave # 2W Chicago, IL 60618","$135,000 ",,
"1351 N Leavitt St # 3 Chicago, IL 60622","$284,000 ",,
"1248 W Fletcher St Unit D Chicago, IL 60657","$120,000 ",41.939158,-87.66068
"244 Columbia Ave Park Ridge, IL 60068","$316,500 ",42.003324,-87.826011
"5205 W Berenice Ave Chicago, IL 60641","$186,000 ",41.950296,-87.757352
"7850 N Octavia Ave Niles, IL 60714","$323,000 ",42.02401,-87.809298
"7315 W Coyle Ave Chicago, IL 60631","$750,000 ",42.006836,-87.809764
"5855 N Sheridan Rd Apt 18H Chicago, IL 60660","$300,000 ",41.988733,-87.654696
"1148 Sheridan Rd Wilmette, IL 60091","$60,000 ",42.082997,-87.696746
"125 S Jefferson St Unit 1005 Chicago, IL 60661","$279,000 ",41.879916,-87.641771
"10653 Dani Ln Orland Park, IL 60462","$132,000 ",41.60471,-87.879482
