Address,list_price,beds,baths,sq_ft,latitude,longitude
"5401 Arlington Dr E Hanover Park, IL 60133",315000.0,4.0,2.5,2087.0,41.9705988,-88.1301682
"2527 W Harrison St # 1 Chicago, IL 60612",820500.0,3.0,2.5,2075.0,41.8735984,-87.68983410000001
"2044 W Roscoe St Unit 1S Chicago, IL 60618",720000.0,3.0,2.5,2050.0,41.9434832,-87.6802257
"2040 Arbor Ln Northfield, IL 60093",397500.0,2.0,2.5,2035.0,42.092686,-87.7673949
"512 N McClurg Ct Apt 5407 Chicago, IL 60611",880000.0,3.0,3.0,2022.0,41.8915234,-87.6178142
"250 E Pearson St Apt 2705 Chicago, IL 60611",1750000.0,3.0,3.0,2017.0,41.8979202,-87.6189597
"57 E Delaware Pl Apt 2302 Chicago, IL 60611",912500.0,3.0,2.0,2015.0,41.8988683,-87.626187
"7021 W Touhy Ave Apt 201B Niles, IL 60714",308000.0,3.0,2.5,2013.0,42.011385,-87.802283
"1100 N Lake Shore Dr Apt 14B Chicago, IL 60611",835000.0,3.0,2.5,2012.0,41.902686,-87.62516099999999
"4201 S Michigan Ave Apt 1S Chicago, IL 60653",1935000.0,2.0,2.5,2004.0,41.81811200000001,-87.622553
"2111 N Juniper Ln Arlington Heights, IL 60004",333500.0,2.0,3.5,2000.0,42.113516,-87.986199
"4644 N Central Park Ave Chicago, IL 60625",320500.0,3.0,3.0,2000.0,41.966071,-87.718536
"1629 E Hyde Park Blvd Apt 3 Chicago, IL 60615",300000.0,3.0,3.0,2000.0,41.8021498,-87.5858121
"143 Oakhurst Rd Matteson, IL 60443",93000.0,4.0,2.5,2000.0,41.5230597,-87.75922729999999
"1342 W Grenshaw St # 1 Chicago, IL 60607",360000.0,3.0,2.5,2000.0,41.868007,-87.660742
"8132 Concord Ln Unit D Justice, IL 60458",164500.0,3.0,2.5,2000.0,41.7421655,-87.8432115
"4554 N Paulina St Apt 6 Chicago, IL 60640",500000.0,3.0,2.5,2000.0,41.9650298,-87.6713595
"2746 N Wolcott Ave Apt 1N Chicago, IL 60614",442500.0,3.0,2.5,2000.0,41.9311275,-87.67535339999999
