Address ,List_Price ,
"1415 Brassie Ave Flossmoor, IL 60422","$358,500 ",
"8006 S Union Ave Chicago, IL 60620","$159,000 ",
"5427 S Aberdeen St Chicago, IL 60609","$700,000 ",
"8516 W 89th St Hickory Hills, IL 60457","$128,000 ",
"4909 W Superior St Chicago, IL 60644","$242,600 ",
"9412 S Sangamon St Chicago, IL 60620","$559,000 ",
"20043 Lake Lynwood Dr Lynwood, IL 60411","$769,000 ",
"2104 Park St Rolling Meadows, IL 60008","$109,000 ",
"10200 S Leavitt St Chicago, IL 60643","$189,000 ",
"1810 N Fairfield Ave Chicago, IL 60647","$185,000 ",
"130 N Garland Ct Apt 1010 Chicago, IL 60602","$305,000 ",
"214 S Greenwood Ave Palatine, IL 60074","$1,020,000 ",
"1821 Glenview Ave Park Ridge, IL 60068","$180,000 ",
"15537 Brassie Dr Orland Park, IL 60462","$575,000 ",
"5730 W Melrose St Chicago, IL 60634","$233,000 ",
"21 Kristin Dr Unit 118 Schaumburg, IL 60195","$195,000 ",
"1040 N Paulina St Apt 2F Chicago, IL 60622","$372,500 ",
"15 Red Barn Rd Matteson, IL 60443","$51,000 ",
"853 161st St Calumet City, IL 60409","$117,000 ",
"6658 Parkside Dr Tinley Park, IL 60477","$397,000 ",
"505 Decatur St Hoffman Estates, IL 60169","$369,000 ",
"3320 Cuyler Ave Berwyn, IL 60402","$462,500 ",
"9655 Woods Dr Unit 1809 Skokie, IL 60077","$680,000 ",
"718 N Willard Ct # 1 Chicago, IL 60642","$104,000 ",
"10420 Circle Dr Apt 26B Oak Lawn, IL 60453","$435,000 ",
"18232 Roy St Lansing, IL 60438","$138,000 ",
"7226 S East End Ave Chicago, IL 60649","$362,500 ",
"6512 N Kimball Ave Lincolnwood, IL 60712","$1,000,000 ",
"140 Inverness Ct # A Elk Grove Village, IL 60007","$519,000 ",
"1032 S Harvey Ave Oak Park, IL 60304","$205,000 ",
"245 S East Ave # 1 Oak Park, IL 60302","$275,000 ",
"5700 S Kenneth Ave Chicago, IL 60629","$61,500 ",
